Movie,YEAR,CERTFICATES,DURATION,Genre,Rating,vot,META_SCORE
Palmer,2021,R,110 min,Drama,7.3,"26,155",53        
Spiral,2021,R,93 min,"Crime, Horror, Mystery",5.3,"25,968",40        
Oxygen,2021,TV-14,100 min,"Drama, Fantasy, Sci-Fi",6.5,"25,795",67        
Inside,2021 TV Special,TV-MA,87 min,"Comedy, Drama, Music",8.8,"25,757",NA
Tom and Jerry,2021,PG,101 min,"Animation, Comedy, Family",5.3,"25,390",32        
Chaos Walking,2021,PG-13,109 min,"Action, Adventure, Fantasy",5.8,"25,239",38        
In the Heights,2021,PG-13,143 min,"Drama, Music, Musical",7.5,"24,981",84        
Racket Boys,2021– ,TV-14,80 min,"Comedy, Drama, Sport",1.0,"24,576",NA
Seaspiracy,2021,TV-MA,89 min,"Documentary, Adventure",8.2,"24,329",NA
 Attack on Titan,2013–2022,TV-MA,24 min,"Animation, Action, Adventure",9.6,"23,845",NA
Cherry,2021,R,142 min,"Crime, Drama",6.6,"23,435",44        
Things Heard & Seen,2021,TV-MA,121 min,"Drama, Horror, Mystery",5.3,"22,902",49        
Resident Alien,2021– ,TV-14,44 min,"Comedy, Drama, Mystery",8.2,"22,074",NA
It's a Sin,2021,TV-MA,239 min,"Comedy, Drama, History",8.7,"22,031",NA
Anne Boleyn,2021– ,NA,60 min,"Drama, History",3.9,"21,893",NA
 WandaVision,2021,TV-PG,30 min,"Action, Comedy, Drama",7.5,"21,669",NA
 Loki,2021– ,TV-14,51 min,"Action, Adventure, Fantasy",8.8,"21,647",NA
Redemption Day,2021,R,99 min,"Action, Drama, Thriller",6.4,"21,510",22        
 WandaVision,2021,TV-PG,35 min,"Action, Comedy, Drama",8.9,"20,577",NA
 WandaVision,2021,TV-PG,37 min,"Action, Comedy, Drama",7.8,"20,506",NA
 WandaVision,2021,TV-14,42 min,"Action, Comedy, Drama",9.1,"20,250",NA
Fatherhood,2021,PG-13,109 min,"Comedy, Drama",6.7,"19,981",53        
Space Sweepers,2021,TV-MA,136 min,"Action, Adventure, Drama",6.6,"19,960",64        
Moxie,2021,PG-13,111 min,"Comedy, Drama, Music",6.7,"19,892",54        
Night Stalker: The Hunt for a Serial Killer,2021,TV-MA,189 min,"Documentary, Crime, Mystery",7.5,"19,559",NA
Bad Trip,2021,Unrated,86 min,Comedy,6.6,"19,278",61        
 WandaVision,2021,TV-PG,33 min,"Action, Comedy, Drama",8.2,"18,905",NA
Fear Street Part 1: 1994,2021,R,107 min,"Drama, Horror, Mystery",6.2,"18,787",67        
 Loki,2021– ,TV-14,53 min,"Action, Adventure, Fantasy",9.0,"18,613",NA
Yes Day,2021,PG,86 min,"Comedy, Family",5.7,"18,364",46        
The Innocent,2021,TV-MA,467 min,"Crime, Drama, Mystery",7.9,"18,356",NA
To All the Boys: Always and Forever,2021,TV-14,109 min,"Comedy, Drama, Romance",6.3,"18,354",65        
 WandaVision,2021,TV-PG,47 min,"Action, Comedy, Drama",9.0,"18,151",NA
 WandaVision,2021,TV-PG,50 min,"Action, Comedy, Drama",8.4,"18,051",NA
Wrong Turn,2021,R,109 min,"Horror, Thriller",5.5,"17,863",46        
 WandaVision,2021,TV-PG,38 min,"Action, Comedy, Drama",8.9,"17,617",NA
Infinite,2021,PG-13,106 min,"Action, Sci-Fi, Thriller",5.4,"17,307",28        
 Attack on Titan,2013–2022,TV-MA,24 min,"Animation, Action, Adventure",9.3,"16,879",NA
 WandaVision,2021,TV-PG,38 min,"Action, Comedy, Drama",8.5,"16,465",NA
Firefly Lane,2021– ,TV-MA,NA,"Drama, Romance",7.4,"16,196",NA
 Loki,2021– ,TV-14,48 min,"Action, Adventure, Fantasy",9.4,"15,994",NA
 Loki,2021– ,TV-14,42 min,"Action, Adventure, Fantasy",7.9,"15,893",NA
Karnan,2021,NA,158 min,"Action, Drama",8.3,"15,735",NA
The Marksman,2021,PG-13,108 min,"Action, Drama, Thriller",5.6,"15,732",44        
Superman and Lois,2021– ,TV-14,42 min,"Action, Adventure, Drama",7.9,"15,684",NA
Below Zero,2021,TV-MA,106 min,"Action, Adventure, Crime",6.2,"15,656",NA
Willy's Wonderland,2021,TV-MA,88 min,"Action, Comedy, Horror",5.6,"15,425",44        
 The Falcon and the Winter Soldier,2021,TV-14,47 min,"Action, Adventure, Drama",7.7,"15,347",NA
The Map of Tiny Perfect Things,2021,PG-13,98 min,"Comedy, Fantasy, Romance",6.8,"14,806",61        
The Nevers,2021– ,TV-MA,58 min,"Action, Drama, Fantasy",7.4,"14,792",NA
Crime Scene: The Vanishing at the Cecil Hotel,2021,TV-MA,219 min,"Documentary, Crime, Mystery",5.9,"14,792",NA
Awake,III 2021,TV-MA,96 min,"Action, Adventure, Drama",4.8,"14,641",35        
 Attack on Titan,2013–2022,TV-MA,24 min,"Animation, Action, Adventure",9.7,"14,066",NA
 The Falcon and the Winter Soldier,2021,TV-14,53 min,"Action, Adventure, Drama",8.8,"13,905",NA
Bliss,I 2021,R,103 min,"Drama, Romance, Sci-Fi",5.3,"13,849",40        
Them,2021– ,TV-MA,45 min,"Drama, Horror, Thriller",7.3,"13,655",NA
The Ice Road,2021,PG-13,109 min,"Action, Adventure, Drama",5.5,"13,572",42        
Clarkson's Farm,2021– ,TV-PG,45 min,Documentary,9.3,"13,488",NA
 The Falcon and the Winter Soldier,2021,TV-14,47 min,"Action, Adventure, Drama",7.9,"13,280",NA
 Attack on Titan,2013–2022,TV-MA,24 min,"Animation, Action, Adventure",8.9,"13,078",NA
 Attack on Titan,2013–2022,TV-MA,24 min,"Animation, Action, Adventure",9.8,"13,066",NA
The Hitman's Wife's Bodyguard,2021,R,100 min,"Action, Comedy, Crime",6.3,"12,569",32        
The Irregulars,2021,TV-14,NA,"Crime, Drama, Fantasy",5.9,"12,331",NA
 The Falcon and the Winter Soldier,2021,TV-14,51 min,"Action, Adventure, Drama",8.0,"12,303",NA
 Attack on Titan,2013–2022,TV-MA,24 min,"Animation, Action, Adventure",9.7,"12,291",NA
 Attack on Titan,2013–2022,TV-MA,24 min,"Animation, Action, Adventure",9.1,"12,081",NA
The Big Bull,2021,NA,153 min,"Biography, Crime, Drama",6.1,"11,663",NA
 The Falcon and the Winter Soldier,2021,TV-14,49 min,"Action, Adventure, Drama",7.8,"11,638",NA
Wish Dragon,2021,PG,98 min,"Animation, Adventure, Comedy",7.2,"11,624",59        
Dota: Dragon's Blood,2021– ,TV-MA,25 min,"Animation, Action, Adventure",8.0,"11,616",NA
Haseen Dillruba,2021,TV-MA,135 min,"Crime, Drama, Mystery",6.9,"11,565",NA
 Attack on Titan,2013–2022,TV-MA,24 min,"Animation, Action, Adventure",9.2,"11,513",NA
 The Falcon and the Winter Soldier,2021,TV-14,57 min,"Action, Adventure, Drama",8.0,"11,480",NA
 Attack on Titan,2013–2022,TV-MA,24 min,"Animation, Action, Adventure",9.7,"11,344",NA
Red Dot,2021,TV-MA,86 min,"Drama, Horror, Thriller",5.5,"11,294",NA
Star Wars: The Bad Batch,2021– ,TV-PG,NA,"Animation, Action, Adventure",8.3,"11,242",NA
The Unholy,2021,PG-13,99 min,"Drama, Horror, Mystery",5.0,"11,060",36        
The One,2021– ,TV-MA,NA,"Crime, Drama, Sci-Fi",6.6,"10,576",NA
 Loki,2021– ,TV-14,48 min,"Action, Adventure, Fantasy",9.3,"10,538",NA
Deadly Illusions,2021,R,114 min,"Drama, Thriller",3.7,"10,332",NA
Vakeel Saab,2021,TV-14,153 min,"Action, Crime, Drama",7.8,"10,193",NA
